,experts,expert_hidden_size,topk,M_A,ETT_M_A,G_A,ETT_G_A
0,2,64,1,0.9329399379432625,993,0.9346,996
1,2,128,1,0.9344747340425532,1000,0.9352,999
2,2,128,1,0.9344747340425532,1000,0.9352,999
3,2,256,1,0.9365857712765957,995,0.9375,995
4,2,512,1,0.9379765070921987,991,0.9392,990
5,4,64,1,0.9177249556737588,996,0.9218,999
6,4,64,2,0.9423204787234043,987,0.9437,989
7,4,128,1,0.9184951241134752,994,0.9236,978
8,4,128,2,0.9410738031914894,999,0.9387,1000
9,4,256,1,0.9177748226950354,996,0.9222,997
10,4,256,2,0.9386524822695035,995,0.9383,987
11,4,512,1,0.9194093528368795,1000,0.9229,967
12,4,512,2,0.94296875,996,0.9403,970
13,8,64,1,0.9005817819148936,998,0.9065,987
14,8,64,2,0.9402537677304965,999,0.9385,993
15,8,64,4,0.9355662677304966,997,0.9368,998
16,8,128,1,0.9009142287234042,995,0.908,971
