,experts,expert_hidden_size,topk,M_A,ETT_M_A,G_A,ETT_G_A,G_A_min_loss,ETT_G_A_min_loss
0,2,64,1,1.0,109,0.977,92,0.9749,29
1,2,128,1,1.0,88,0.9805,86,0.978,22
2,2,256,1,1.0,65,0.9822,49,0.9803,19
3,2,512,1,1.0,62,0.9839,62,0.9822,16
4,4,64,1,1.0,354,0.9786,353,0.9759,53
5,4,64,2,1.0,53,0.977,43,0.973,13
6,4,128,1,1.0,832,0.9824,157,0.9789,45
7,4,128,2,1.0,38,0.9764,34,0.9732,12
8,4,256,1,1.0,489,0.9834,222,0.9815,38
9,4,256,2,1.0,29,0.9788,29,0.9755,11
10,4,512,1,1.0,910,0.9857,549,0.9794,14
11,4,512,2,1.0,22,0.9818,21,0.9772,8
12,8,64,1,0.9998670212765958,949,0.9788,893,0.9735,47
